EPC,Ant,Time,Frequency,RSSI,Phase
E2801160600002073A4A0529,1,1970/1/1 0:05,916250,-48,160
E2801160600002073A4A0519,1,1970/1/1 0:05,916250,-48,157
E2000017221200910820C6AD,1,1970/1/1 0:05,916250,-76,36
E2801160600002073A4A0519,1,1970/1/1 0:07,922750,-45,11
E2801160600002073A4A0529,1,1970/1/1 0:07,922750,-46,14
E2801160600002073A4A0529,1,1970/1/1 0:07,922750,-47,16
E2801160600002073A4A0519,1,1970/1/1 0:07,922750,-45,11
E2801160600002073A4A0529,1,1970/1/1 0:07,922750,-46,25
E2801160600002073A4A0519,1,1970/1/1 0:07,922750,-45,16
E2801160600002073A4A0529,1,1970/1/1 0:07,904250,-45,75
E2801160600002073A4A0519,1,1970/1/1 0:07,904250,-45,67
E2000017221200910820C6AD,1,1970/1/1 0:07,904250,-76,154
E2000017221200910820C6AD,1,1970/1/1 0:07,904250,-75,132
E2801160600002073A4A0519,1,1970/1/1 0:07,904250,-45,67
E2801160600002073A4A0529,1,1970/1/1 0:07,904250,-45,75
E2801160600002073A4A0519,1,1970/1/1 0:07,904250,-44,73
E2801160600002073A4A0529,1,1970/1/1 0:07,904250,-45,73
E2000017221200910820C6AD,1,1970/1/1 0:07,904250,-76,132
E2801160600002073A4A0519,1,1970/1/1 0:07,904250,-44,67
E2000017221200910820C6AD,1,1970/1/1 0:07,904250,-75,132
E2801160600002073A4A0529,1,1970/1/1 0:07,904250,-45,81
E2801160600002073A4A0529,1,1970/1/1 0:07,917250,-46,137
E2000017221200910820C6AD,1,1970/1/1 0:07,904250,-75,157
E2801160600002073A4A0519,1,1970/1/1 0:07,917250,-45,132
E2801160600002073A4A0519,1,1970/1/1 0:07,917250,-45,126
E2801160600002073A4A0529,1,1970/1/1 0:07,917250,-46,135
E2801160600002073A4A0519,1,1970/1/1 0:07,917250,-46,129
E2801160600002073A4A0529,1,1970/1/1 0:07,917250,-46,135
E2801160600002073A4A0529,1,1970/1/1 0:07,909750,-45,135
E2801160600002073A4A0519,1,1970/1/1 0:07,909750,-45,132
E2801160600002073A4A0529,1,1970/1/1 0:07,909750,-45,132
E2801160600002073A4A0519,1,1970/1/1 0:07,909750,-45,120
E2801160600002073A4A0519,1,1970/1/1 0:07,909750,-45,123
E2801160600002073A4A0529,1,1970/1/1 0:07,909750,-45,129
E2801160600002073A4A0529,1,1970/1/1 0:07,903750,-46,90
E2801160600002073A4A0519,1,1970/1/1 0:07,903750,-45,73
E2000017221200910820C6AD,1,1970/1/1 0:07,903750,-74,25
E2801160600002073A4A0529,1,1970/1/1 0:07,903750,-46,90
E2801160600002073A4A0519,1,1970/1/1 0:07,903750,-45,81
E2000017221200910820C6AD,1,1970/1/1 0:07,903750,-74,171
E2801160600002073A4A0519,1,1970/1/1 0:07,903750,-45,78
E2000017221200910820C6AD,1,1970/1/1 0:07,903750,-72,11
E2801160600002073A4A0529,1,1970/1/1 0:07,903750,-46,95
E2801160600002073A4A0519,1,1970/1/1 0:07,903750,-45,73
E2801160600002073A4A0529,1,1970/1/1 0:07,903750,-45,87
E2000017221200910820C6AD,1,1970/1/1 0:07,903750,-73,11
E2801160600002073A4A0519,1,1970/1/1 0:07,911750,-45,67
E2801160600002073A4A0529,1,1970/1/1 0:07,911750,-45,78
E2000017221200910820C6AD,1,1970/1/1 0:07,903750,-74,177
E2801160600002073A4A0529,1,1970/1/1 0:07,911750,-45,81
E2801160600002073A4A0519,1,1970/1/1 0:07,911750,-45,70
E2801160600002073A4A0519,1,1970/1/1 0:07,911750,-45,64
E2801160600002073A4A0529,1,1970/1/1 0:07,911750,-45,75
E2801160600002073A4A0529,1,1970/1/1 0:07,906250,-44,33
E2801160600002073A4A0519,1,1970/1/1 0:07,906250,-44,30
E2801160600002073A4A0529,1,1970/1/1 0:07,906250,-44,42
E2801160600002073A4A0519,1,1970/1/1 0:07,906250,-44,28
E2801160600002073A4A0529,1,1970/1/1 0:07,906250,-45,36
E2801160600002073A4A0519,1,1970/1/1 0:07,906250,-44,30
E2801160600002073A4A0529,1,1970/1/1 0:07,906250,-44,45
E2801160600002073A4A0519,1,1970/1/1 0:07,906250,-44,33
E2801160600002073A4A0529,1,1970/1/1 0:07,919750,-47,84
E2801160600002073A4A0519,1,1970/1/1 0:07,919750,-47,70
E2801160600002073A4A0519,1,1970/1/1 0:07,919750,-46,67
E2801160600002073A4A0529,1,1970/1/1 0:07,919750,-47,78
E2801160600002073A4A0519,1,1970/1/1 0:07,919750,-47,73
E2801160600002073A4A0529,1,1970/1/1 0:07,919750,-47,81
E2801160600002073A4A0519,1,1970/1/1 0:07,919750,-46,70
E2801160600002073A4A0519,1,1970/1/1 0:07,927250,-46,81
E2801160600002073A4A0529,1,1970/1/1 0:07,927250,-48,95
E2801160600002073A4A0529,1,1970/1/1 0:07,927250,-48,95
E2801160600002073A4A0519,1,1970/1/1 0:07,927250,-46,87
E2801160600002073A4A0529,1,1970/1/1 0:07,927250,-48,92
E2801160600002073A4A0519,1,1970/1/1 0:07,927250,-46,81
E20000174016001919404DB6,1,1970/1/1 0:07,927250,-76,5
E2801160600002073A4A0519,1,1970/1/1 0:07,922250,-46,16
E2801160600002073A4A0529,1,1970/1/1 0:07,922250,-47,25
E2801160600002073A4A0519,1,1970/1/1 0:07,922250,-45,19
E2801160600002073A4A0529,1,1970/1/1 0:07,922250,-47,22
E2801160600002073A4A0529,1,1970/1/1 0:07,922250,-47,25
E2801160600002073A4A0519,1,1970/1/1 0:07,922250,-45,16
E2801160600002073A4A0519,1,1970/1/1 0:07,907250,-45,14
E2801160600002073A4A0529,1,1970/1/1 0:07,907250,-45,16
E2801160600002073A4A0529,1,1970/1/1 0:07,907250,-45,22
E2801160600002073A4A0519,1,1970/1/1 0:07,907250,-45,14
E2801160600002073A4A0529,1,1970/1/1 0:07,907250,-45,19
E2801160600002073A4A0519,1,1970/1/1 0:07,907250,-45,11
E2801160600002073A4A0529,1,1970/1/1 0:07,907250,-45,16
E2801160600002073A4A0519,1,1970/1/1 0:07,907250,-45,8
E2801160600002073A4A0529,1,1970/1/1 0:07,920750,-47,56
E2801160600002073A4A0519,1,1970/1/1 0:07,920750,-46,47
E2801160600002073A4A0519,1,1970/1/1 0:07,920750,-46,50
E2801160600002073A4A0529,1,1970/1/1 0:07,920750,-47,56
E2801160600002073A4A0519,1,1970/1/1 0:07,920750,-46,45
E2801160600002073A4A0529,1,1970/1/1 0:07,920750,-47,59
E2801160600002073A4A0529,1,1970/1/1 0:07,909250,-45,137
E2801160600002073A4A0519,1,1970/1/1 0:07,909250,-45,132
E2801160600002073A4A0519,1,1970/1/1 0:07,909250,-45,129
E2801160600002073A4A0529,1,1970/1/1 0:07,909250,-45,140
E2801160600002073A4A0519,1,1970/1/1 0:07,909250,-45,129
E2801160600002073A4A0529,1,1970/1/1 0:07,909250,-45,140
E2801160600002073A4A0519,1,1970/1/1 0:07,925750,-45,126
E2801160600002073A4A0529,1,1970/1/1 0:07,925750,-47,135
E20000174016001919404DB6,1,1970/1/1 0:07,925750,-75,73
E2801160600002073A4A0519,1,1970/1/1 0:07,925750,-46,129
E2801160600002073A4A0529,1,1970/1/1 0:07,925750,-48,129
E20000174016001919404DB6,1,1970/1/1 0:07,925750,-76,61
E2801160600002073A4A0529,1,1970/1/1 0:07,925750,-47,129
E2801160600002073A4A0519,1,1970/1/1 0:07,925750,-46,118
E2801160600002073A4A0529,1,1970/1/1 0:07,925750,-47,135
E20000174016001919404DB6,1,1970/1/1 0:07,925750,-76,61
E2801160600002073A4A0519,1,1970/1/1 0:07,925750,-45,120
E2801160600002073A4A0519,1,1970/1/1 0:07,920250,-46,67
E20000174016001919404DB6,1,1970/1/1 0:07,925750,-76,61
E2801160600002073A4A0529,1,1970/1/1 0:07,920250,-47,67
E2801160600002073A4A0529,1,1970/1/1 0:07,920250,-47,70
E2801160600002073A4A0519,1,1970/1/1 0:07,920250,-46,59
E2801160600002073A4A0529,1,1970/1/1 0:07,920250,-47,70
E2801160600002073A4A0519,1,1970/1/1 0:07,920250,-46,61
E2801160600002073A4A0529,1,1970/1/1 0:07,914750,-48,8
E2801160600002073A4A0519,1,1970/1/1 0:07,914750,-47,0
E2801160600002073A4A0529,1,1970/1/1 0:07,914750,-48,8
E2801160600002073A4A0519,1,1970/1/1 0:07,914750,-48,2
E2000017221200910820C6AD,1,1970/1/1 0:07,914750,-75,120
E2801160600002073A4A0529,1,1970/1/1 0:07,914750,-49,8
E2801160600002073A4A0519,1,1970/1/1 0:07,914750,-48,5
E2801160600002073A4A0519,1,1970/1/1 0:07,908750,-45,146
E2801160600002073A4A0529,1,1970/1/1 0:07,908750,-45,157
